event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
2429,170,Manchester United,home, 74 ,Yellow card, Bruno Fernandes ,
2430,170,Liverpool,away, 81 ,Goal, Mohamed Salah ,
2431,170,Liverpool,away, 85 ,Substitution, Konstantinos Tsimikas , Andrew Robertson 
2432,170,Manchester United,home, 86 ,Substitution, Aaron Wan-Bissaka , Diogo Dalot 
2433,170,Manchester United,home, 86 ,Substitution, Cristiano Ronaldo , Marcus Rashford 
2434,170,Manchester United,home, 86 ,Substitution, Donny van de Beek , Christian Eriksen 
2435,171,Manchester City,away, 5 ,Goal, Ilkay Gündoğan , Bernardo Silva 
2436,171,Newcastle United,home, 8 ,Yellow card, Bruno Guimarães ,
2437,171,Manchester City,away, 18 ,Yellow card, João Cancelo ,
2438,171,Manchester City,away, 21 ,Substitution, Rúben Dias , Nathan Aké 
2439,171,Newcastle United,home, 28 ,Goal, Miguel Almirón , Allan Saint-Maximin 
2440,171,Newcastle United,home, 34 ,Yellow card, Fabian Schär ,
2441,171,Newcastle United,home, 39 ,Goal, Callum Wilson , Allan Saint-Maximin 
2442,171,Manchester City,away, 52 ,Yellow card, John Stones ,
2443,171,Newcastle United,home, 54 ,Goal, Kieran Trippier ,
2444,171,Manchester City,away, 61 ,Goal, Erling Haaland , Rodri 
2445,171,Manchester City,away, 64 ,Goal, Bernardo Silva , Kevin De Bruyne 
2446,171,Newcastle United,home, 70 ,Substitution, Christopher Wood , Callum Wilson 
2447,171,Newcastle United,home, 70 ,Substitution, Sean Longstaff , Joe Willock 
2448,171,Newcastle United,home, 74 ,Retracted red card,Retracted red card,
2449,171,Newcastle United,home, 76 ,Yellow card, Kieran Trippier ,
2450,171,Newcastle United,home, 83 ,Substitution, Jacob Murphy , Miguel Almirón 
2451,171,Newcastle United,home, 92 ,Yellow card, Joelinton ,
2452,171,Newcastle United,home, 95 ,Substitution, Emil Krafth , Daniel Burn 
2453,172,West Ham,home, 20 ,Yellow card, Thilo Kehrer ,
2454,172,Brighton,away, 22 ,Penalty, Alexis Mac Allister , Penalty 
2455,172,West Ham,home, 62 ,Substitution, Gianluca Scamacca , Pablo Fornals 
2456,172,Brighton,away, 63 ,Substitution, Pervis Estupiñán , Adam Lallana 
2457,172,Brighton,away, 66 ,Goal, Leandro Trossard , Pascal Groß 
2458,172,West Ham,home, 71 ,Yellow card, Aaron Cresswell ,
2459,172,West Ham,home, 74 ,Substitution, Maxwel Cornet , Michail Antonio 
2460,172,West Ham,home, 75 ,Substitution, Manuel Lanzini , Saïd Benrahma 
2461,172,West Ham,home, 75 ,Substitution, Ben Johnson , Vladimír Coufal 
2462,172,Brighton,away, 85 ,Substitution, Enock Mwepu , Solomon March 
2463,172,Brighton,away, 93 ,Substitution, Kaoru Mitoma , Leandro Trossard 
2464,173,Chelsea,away, 9 ,Yellow card, Kalidou Koulibaly ,
2465,173,Leeds,home, 33 ,Goal, Brenden Aaronson ,
2466,173,Chelsea,away, 36 ,Yellow card, Raheem Sterling ,
2467,173,Leeds,home, 37 ,Goal, Rodrigo Moreno , Jack Harrison 
2468,173,Leeds,home, 61 ,Substitution, Adam Forshaw , Marc Roca 
2469,173,Chelsea,away, 64 ,Substitution, Christian Pulisic , Conor Gallagher 
2470,173,Chelsea,away, 64 ,Substitution, Hakim Ziyech , Jorginho 
2471,173,Leeds,home, 69 ,Goal, Jack Harrison , Rodrigo Moreno 
2472,173,Leeds,home, 70 ,Substitution, Luis Sinisterra , Daniel James 
2473,173,Chelsea,away, 77 ,Substitution, Benjamin Chilwell , Mason Mount 
2474,173,Leeds,home, 83 ,Substitution, Sam Greenwood , Jack Harrison 
