event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
939,57,Lecce,home, 64 ,Substitution, Remi Oudin , Gabriel Strefezza 
940,57,Lecce,home, 68 ,Yellow card, Marin Pongračić ,
941,57,Atalanta,away, 68 ,Substitution, Ademola Lookman , Mario Pašalić 
942,57,Lecce,home, 72 ,Substitution, Kristijan Bistrović , Alexis Blin 
943,57,Lecce,home, 72 ,Substitution, Assan Ceesay , Lorenzo Colombo 
944,57,Atalanta,away, 76 ,Yellow card, Matteo Ruggeri ,
945,57,Atalanta,away, 80 ,Substitution, Rasmus Højlund , Ruslan Malinovskyi 
946,57,Atalanta,away, 80 ,Substitution, Jérémie Boga , Nadir Zortea 
947,57,Lecce,home, 83 ,Substitution, Samuel Umtiti , Valentin Gendrey 
948,57,Atalanta,away, 87 ,Yellow card, Teun Koopmeiners ,
949,58,Cremonese,home, 47 ,Yellow card, Paolo Ghiglione ,
950,58,Milan,away, 56 ,Disallowed goal,Disallowed goal,
951,58,Milan,away, 59 ,Substitution, Rafael Leão , Divock Origi 
952,58,Milan,away, 60 ,Substitution, Pierre Kalulu , Malick Thiaw 
953,58,Cremonese,home, 62 ,Substitution, Leonardo Sernicola , Paolo Ghiglione 
954,58,Cremonese,home, 63 ,Substitution, David Okereke , Daniel Ciofani 
955,58,Cremonese,home, 63 ,Substitution, Cristian Buonaiuto , Felix Afena-Gyan 
956,58,Cremonese,home, 67 ,Yellow card, Johan Vásquez ,
957,58,Cremonese,home, 70 ,Substitution, Charles Pickel , Michele Castagnetti 
958,58,Milan,away, 74 ,Substitution, Charles De Ketelaere , Brahim Diaz 
959,58,Milan,away, 78 ,Yellow card, Rafael Leão ,
960,58,Milan,away, 83 ,Substitution, Marko Lazetić , Ante Rebic 
961,58,Milan,away, 83 ,Substitution, Rade Krunic , Sandro Tonali 
962,58,Cremonese,home, 85 ,Yellow card, Emanuele Valeri ,
963,58,Milan,away, 87 ,Yellow card, Marko Lazetić ,
964,58,Cremonese,home, 87 ,Yellow card, Soualiho Meite ,
965,58,Cremonese,home, 88 ,Substitution, Giacomo Quagliata , Emanuele Valeri 
966,58,Milan,away, 93 ,Yellow card, Charles De Ketelaere ,
967,59,Udinese,away, 17 ,Yellow card, Tolgay Arslan ,
968,59,Udinese,away, 20 ,Disallowed goal,Disallowed goal,
969,59,Spezia,home, 33 ,Goal, Arkadiusz Reca , Ethan Ampadu 
970,59,Spezia,home, 35 ,Yellow card, Mehdi Bourabia ,
971,59,Udinese,away, 43 ,Goal, Sandi Lovrić , Isaac Success 
972,59,Spezia,home, 44 ,Yellow card, Jakub Kiwior ,
973,59,Spezia,home, 45 ,Substitution, Kelvin Amian , Mehdi Bourabia 
974,59,Udinese,away, 45 ,Substitution, Kingsley Ehizibue , Tolgay Arslan 
975,59,Spezia,home, 57 ,Substitution, Mattia Caldara , Jakub Kiwior 
976,59,Spezia,home, 57 ,Substitution, Simone Bastoni , Albin Ekdal 
977,59,Udinese,away, 60 ,Substitution, Beto , Gerard Deulofeu 
978,59,Udinese,away, 60 ,Substitution, Mato Jajalo , Sandi Lovrić 
979,59,Spezia,home, 69 ,Substitution, Daniel Maldini , Daniele Verde 
980,59,Udinese,away, 71 ,Yellow card, Isaac Success ,
981,59,Udinese,away, 73 ,Yellow card, Bram Nuytinck ,
982,59,Spezia,home, 75 ,Substitution, Mikael Ellertsson , Arkadiusz Reca 
983,59,Udinese,away, 79 ,Substitution, Lazar Samardžić , Bram Nuytinck 
984,59,Spezia,home, 84 ,Yellow card, Simone Bastoni ,
985,59,Udinese,away, 85 ,Substitution, Ilija Nestorovski , Isaac Success 
986,60,Empoli,away, 15 ,Yellow card, Filippo Bandinelli ,
987,60,Empoli,away, 22 ,Yellow card, Martín Satriano ,
988,60,Empoli,away, 39 ,Yellow card, Sebastiano Luperto ,
989,60,Napoli,home, 57 ,Yellow card, Leo Østigård ,
990,60,Empoli,away, 59 ,Substitution, Sam Lammers , Martín Satriano 
991,60,Empoli,away, 59 ,Substitution, Jean Akpa , Nicolas Haas 
992,60,Empoli,away, 61 ,Yellow card, Fabiano Parisi ,
993,60,Napoli,home, 64 ,Substitution, Hirving Lozano , Giacomo Raspadori 
994,60,Napoli,home, 64 ,Substitution, Piotr Zieliński , Tanguy Ndombele 
995,60,Napoli,home, 64 ,Substitution, Eljif Elmas , Matteo Politano 
996,60,Napoli,home, 69 ,Penalty, Hirving Lozano , Penalty 
997,60,Empoli,away, 73 ,Substitution, Liam Henderson , Tommaso Baldanzi 
998,60,Empoli,away, 73 ,Substitution, Alberto Grassi , Filippo Bandinelli 
999,60,Empoli,away, 74 ,Second yellow card, Sebastiano Luperto ,
1000,60,Empoli,away, 85 ,Substitution, Emmanuel Ekong , Razvan Marin 
1001,60,Napoli,home, 88 ,Goal, Piotr Zieliński , Hirving Lozano 
1002,60,Empoli,away, 89 ,Yellow card, Liam Henderson ,
1003,60,Napoli,home, 90 ,Substitution, Giovanni Simeone , Victor Osimhen 
1004,60,Napoli,home, 90 ,Substitution, Diego Demme , Stanislav Lobotka 
1005,61,Juventus,home, 52 ,Goal, Adrien Rabiot , Filip Kostić 
1006,61,Inter,away, 56 ,Yellow card, Hakan Calhanoglu ,
1007,61,Juventus,home, 65 ,Disallowed goal,Disallowed goal,
1008,61,Inter,away, 68 ,Yellow card, Milan Skriniar ,
1009,61,Juventus,home, 73 ,Substitution, Federico Chiesa , Arek Milik 
1010,61,Inter,away, 74 ,Substitution, Robin Gosens , Federico Dimarco 
1011,61,Inter,away, 74 ,Substitution, Joaquín Correa , Hakan Calhanoglu 
1012,61,Juventus,home, 77 ,Yellow card, Danilo ,
1013,61,Juventus,home, 81 ,Substitution, Ángel Di María , Fabio Miretti 
1014,61,Inter,away, 81 ,Substitution, Marcelo Brozović , Henrikh Mkhitaryan 
1015,61,Inter,away, 81 ,Substitution, Matteo Darmian , Milan Skriniar 
1016,61,Inter,away, 81 ,Substitution, Raoul Bellanova , Denzel Dumfries 
1017,61,Juventus,home, 84 ,Goal, Nicolò Fagioli , Filip Kostić 
1018,61,Inter,away, 90 ,Yellow card, Edin Dzeko ,
1019,62,Roma,home, 8 ,Yellow card, Gianluca Mancini ,
1020,62,Lazio,away, 25 ,Yellow card, Manuel Lazzari ,
1021,62,Lazio,away, 29 ,Goal, Felipe Anderson ,
1022,62,Roma,home, 45 ,Substitution, Zeki Çelik , Gianluca Mancini 
1023,62,Lazio,away, 50 ,Yellow card, Matías Vecino ,
1024,62,Roma,home, 53 ,Substitution, Cristian Volpato , Lorenzo Pellegrini 
1025,62,Roma,home, 63 ,Substitution, Stephan El Shaarawy , Rick Karsdorp 
1026,62,Lazio,away, 69 ,Substitution, Matteo Cancellieri , Pedro 
1027,62,Lazio,away, 69 ,Substitution, Elseid Hysaj , Manuel Lazzari 
1028,62,Lazio,away, 71 ,Substitution, Toma Bašić , Luis Alberto 
1029,62,Roma,home, 73 ,Substitution, Nemanja Matic , Mady Camara 
1030,62,Roma,home, 73 ,Substitution, Andrea Belotti , Nicola Zalewski 
1031,62,Lazio,away, 85 ,Substitution, Luka Romero , Mattia Zaccagni 
1032,62,Roma,home, 87 ,Yellow card, Rui Patrício ,
1033,62,Lazio,away, 88 ,Yellow card, Stefan Radu ,
1034,63,Fiorentina,away, 4 ,Goal, Giacomo Bonaventura , Dodô 
1035,63,Sampdoria,home, 25 ,Yellow card, Mehdi Léris ,
1036,63,Sampdoria,home, 37 ,Substitution, Jeison Murillo , Bruno Amione 
1037,63,Fiorentina,away, 45 ,Substitution, Arthur Cabral , Luka Jović 
1038,63,Sampdoria,home, 45 ,Substitution, Manolo Gabbiadini , Daniele Montevago 
1039,63,Fiorentina,away, 45 ,Substitution, Igor , Lucas Martínez Quarta 
1040,63,Fiorentina,away, 58 ,Goal, Nikola Milenković , Cristiano Biraghi 
1041,63,Fiorentina,away, 66 ,Substitution, Sofyan Amrabat , Alfred Duncan 
1042,63,Sampdoria,home, 66 ,Substitution, Ronaldo Vieira , Alex Ferrari 
1043,63,Sampdoria,home, 66 ,Substitution, Fabio Quagliarella , Gonzalo Villar 
1044,63,Sampdoria,home, 71 ,Substitution, Nicola Murru , Tommaso Augello 
1045,63,Fiorentina,away, 83 ,Substitution, Riccardo Saponara , Rolando Mandragora 
1046,63,Fiorentina,away, 83 ,Substitution, Antonín Barák , Christian Kouamé 
1047,64,Monza,home, 4 ,Yellow card, Armando Izzo ,
1048,64,Hellas Verona,away, 18 ,Substitution, Kevin Lasagna , Davide Faraoni 
1049,64,Hellas Verona,away, 19 ,Yellow card, Koray Günter ,
1050,64,Hellas Verona,away, 27 ,Red card, Giangiacomo Magnani ,
1051,64,Monza,home, 33 ,Yellow card, Marlon ,
1052,64,Hellas Verona,away, 45 ,Substitution, Filippo Terracciano , Yayah Kallon 
1053,64,Hellas Verona,away, 60 ,Substitution, Josh Doig , Darko Lazović 
1054,64,Hellas Verona,away, 60 ,Substitution, Ibrahim Sulemana , Miguel Veloso 
1055,64,Monza,home, 62 ,Substitution, Andrea Petagna , Gianluca Caprari 
1056,64,Monza,home, 63 ,Substitution, Valentin Antov , Marlon 
1057,64,Monza,home, 68 ,Goal, Carlos Augusto , Patrick Ciurria 
1058,64,Monza,home, 76 ,Yellow card, Carlos Augusto ,
1059,64,Hellas Verona,away, 76 ,Substitution, Simone Verdi , Thomas Henry 
